"Identifier","BUnit","BUnitShortName","BUnitFullName","Cpty","CptyShortName","CptyFullName","SettleRef","SettleDate","ValueDate","CashFlowDate","SettledBy","InstructedBy","Curr","Amount","SettlementMethod","SettleMethodDescription","OurBank","OurBankRec"
"1","ARGENTINA","ARGENTINA","ARGENTINA DUMMY SA","BBVA","BBVA","BBVA","100149","6/6/2023 12:00:00 AM","6/6/2023 12:00:00 AM","6/6/2023 12:00:00 AM","Rodrigo.Castaneda","Rodrigo.Castaneda","ARS","-200000.00000","MANUAL","Manual Settlement Method","BBVA0111",""
"1","ARGENTINA","ARGENTINA","ARGENTINA DUMMY SA","BBVA","BBVA","BBVA","100150","6/6/2023 12:00:00 AM","6/6/2023 12:00:00 AM","6/6/2023 12:00:00 AM","Rodrigo.Castaneda","Rodrigo.Castaneda","ARS","-300000.00000","MANUAL","Manual Settlement Method","BBVA0111",""
"1","ARGENTINA","ARGENTINA","ARGENTINA DUMMY SA","BBVA","BBVA","BBVA","100151","6/6/2023 12:00:00 AM","6/6/2023 12:00:00 AM","6/6/2023 12:00:00 AM","Rodrigo.Castaneda","Rodrigo.Castaneda","ARS","-60000.00000","MANUAL","Manual Settlement Method","BBVA0111",""
"1","ARGENTINA","ARGENTINA","ARGENTINA DUMMY SA","BBVA","BBVA","BBVA","100152","6/6/2023 12:00:00 AM","6/6/2023 12:00:00 AM","6/6/2023 12:00:00 AM","","Rodrigo.Castaneda","ARS","-200000.00000","","","",""
"1","ARGENTINA","ARGENTINA","ARGENTINA DUMMY SA","BBVA","BBVA","BBVA","100153","6/6/2025 12:00:00 AM","6/6/2025 12:00:00 AM","6/6/2025 12:00:00 AM","","Rodrigo.Castaneda","ARS","443666.67000","","","",""
"1","ARGENTINA","ARGENTINA","ARGENTINA DUMMY SA","BBVA","BBVA","BBVA","100154","6/1/2023 12:00:00 AM","6/1/2023 12:00:00 AM","6/1/2023 12:00:00 AM","","Rodrigo.Castaneda","ARS","-200000.00000","","","",""
"1","ARGENTINA","ARGENTINA","ARGENTINA DUMMY SA","BBVA","BBVA","BBVA","100155","6/6/2025 12:00:00 AM","6/6/2025 12:00:00 AM","6/6/2025 12:00:00 AM","","Rodrigo.Castaneda","ARS","452273.47000","","","",""
"1","ARGENTINA","ARGENTINA","ARGENTINA DUMMY SA","BBVA","BBVA","BBVA","100156","6/6/2023 12:00:00 AM","6/6/2023 12:00:00 AM","6/6/2023 12:00:00 AM","","Rodrigo.Castaneda","ARS","-5000.00000","","","",""
"1","ARGENTINA","ARGENTINA","ARGENTINA DUMMY SA","BBVA","BBVA","BBVA","100157","6/1/2023 12:00:00 AM","6/1/2023 12:00:00 AM","6/1/2023 12:00:00 AM","","Rodrigo.Castaneda","ARS","-200000.00000","","","",""
"1","ARGENTINA","ARGENTINA","ARGENTINA DUMMY SA","BBVA","BBVA","BBVA","100158","6/6/2025 12:00:00 AM","6/6/2025 12:00:00 AM","6/6/2025 12:00:00 AM","","Rodrigo.Castaneda","ARS","445333.33000","","","",""
